idx,mean,median,TRUE,bias,std,RMSE,MAE,MAPE,q025,q975,covering,mean_ind_cover,method,estimand
443,7.7620006,7.76,8.211,-0.44900003,0.119,1.3870001,0.88100004,0.171,7.531,7.998,0,0.32200003,GP_oracle,dynamic
443,8.826,8.828,9.160001,-0.33400002,0.17600001,2.3560002,1.5480001,0.149,8.484,9.167001,1,0.268,Linear_oracle,stoch
443,8.692,8.691,9.160001,-0.46800002,0.16600001,1.58,0.81500006,0.079,8.371,9.022,0,0.374,GP_oracle,stoch
443,5.8220005,5.8220005,8.211,-2.3890002,0.15100001,3.851,3.084,0.53300005,5.5220003,6.117,0,0.044000003,Linear_observed,dynamic
443,6.7700005,6.7700005,8.211,-1.4410001,0.194,2.9780002,2.5180001,0.71000004,6.386,7.149,0,0.17600001,GP_observed,dynamic
443,6.3110003,6.3100004,9.160001,-2.8490002,0.29000002,3.5690002,2.9780002,0.30200002,5.7460003,6.8810005,0,0.052,Linear_observed,stoch
443,8.79,8.787001,9.160001,-0.37,0.42800003,2.5860002,1.595,0.18200001,7.951,9.6310005,1,0.47200003,GP_observed,stoch
443,6.8830004,6.879,8.211,-1.3280001,0.18200001,3.1220002,2.3590002,0.44500002,6.524,7.2530003,0,0.36600003,Linear_3S,dynamic
443,7.0330005,7.0360003,8.211,-1.1780001,0.18400002,2.2380002,1.848,0.381,6.6660004,7.3870006,0,0.48000002,GP_3S,dynamic
443,8.108001,8.103001,9.160001,-1.052,0.22800002,2.2350001,1.6200001,0.16800001,7.6500006,8.564,0,0.57000005,Linear_3S,stoch
443,7.5730004,7.5780005,9.160001,-1.5870001,0.23300001,2.2710001,1.7190001,0.18400002,7.096,8.022,0,0.59400004,GP_3S,stoch
443,7.1210003,7.122,8.211,-1.09,0.162,3.144,2.344,0.45000002,6.8030005,7.4410005,0,0.12200001,Linear_1S,dynamic
443,7.425,7.426,8.211,-0.786,0.15900001,2.22,1.618,0.35000002,7.1110005,7.7360005,0,0.27800003,GP_1S,dynamic
443,8.497001,8.499001,9.160001,-0.66300005,0.21000001,2.273,1.6140001,0.16600001,8.088,8.906,0,0.23600002,Linear_1S,stoch
443,8.21,8.21,9.160001,-0.95000005,0.19700001,2.278,1.315,0.13900001,7.8150005,8.594001,0,0.386,GP_1S,stoch
498,7.3910003,7.3900003,8.749001,-1.358,0.15300001,3.3070002,2.19,0.36400002,7.09,7.6910005,0,0.15,Linear_oracle,dynamic
498,8.146001,8.147,8.749001,-0.60300004,0.119,2.236,1.143,0.21100001,7.9080005,8.382,0,0.33600003,GP_oracle,dynamic
498,8.839001,8.838,9.571,-0.73200005,0.19600001,2.4220002,1.5500001,0.147,8.453,9.224,0,0.298,Linear_oracle,stoch
498,8.977,8.978001,9.571,-0.59400004,0.163,2.64,1.2780001,0.115,8.653001,9.2960005,0,0.34800002,GP_oracle,stoch
498,5.734,5.734,8.749001,-3.015,0.14400001,4.4820004,3.4110003,0.564,5.4480004,6.0150003,0,0.044000003,Linear_observed,dynamic
498,6.268,6.268,8.749001,-2.4810002,0.186,3.417,2.795,0.91,5.9010005,6.6310005,0,0.134,GP_observed,dynamic
498,6.3020005,6.3040004,9.571,-3.269,0.268,4.063,3.3390002,0.33100003,5.7780004,6.821,0,0.040000003,Linear_observed,stoch
498,8.212001,8.211,9.571,-1.3590001,0.409,2.561,1.644,0.16700001,7.4040003,9.008,0,0.49,GP_observed,stoch
498,6.9350004,6.931,8.749001,-1.8140001,0.187,3.5180001,2.503,0.507,6.5670004,7.3180003,0,0.316,Linear_3S,dynamic
498,7.2180004,7.2170005,8.749001,-1.531,0.178,2.496,1.9360001,0.43400002,6.8700004,7.5690002,0,0.49800003,GP_3S,dynamic
498,8.152,8.145,9.571,-1.419,0.23200001,2.558,1.7780001,0.178,7.689,8.623,0,0.532,Linear_3S,stoch
498,7.7380004,7.741,9.571,-1.8330001,0.22700001,2.5830002,1.917,0.192,7.287,8.175,0,0.592,GP_3S,stoch
498,7.1460004,7.1450005,8.749001,-1.603,0.16700001,3.4520001,2.4150002,0.512,6.8190002,7.478,0,0.098000005,Linear_1S,dynamic
498,7.813,7.813,8.749001,-0.93600005,0.165,2.23,1.48,0.41400003,7.4930005,8.136001,0,0.312,GP_1S,dynamic
498,8.485001,8.484,9.571,-1.0860001,0.215,2.4910002,1.7140001,0.17,8.065001,8.911,0,0.19000001,Linear_1S,stoch
498,8.501,8.5,9.571,-1.07,0.20500001,2.3730001,1.3280001,0.128,8.1,8.902,0,0.44000003,GP_1S,stoch
