idx,mean,median,true,bias,std,RMSE,q025,q975,covering,method,estimand
181.0,1.1700001,1.171,1.348,-0.178,0.132,0.22200002,0.91,1.4300001,1.0,Linear_3S,stoch
181.0,1.1850001,1.1830001,1.348,-0.163,0.13100001,0.209,0.92600006,1.447,1.0,GP_3S,stoch
181.0,1.529,1.5300001,1.654,-0.125,0.133,0.18300001,1.271,1.789,1.0,Linear_1S,dynamic
181.0,1.501,1.5020001,1.654,-0.15300001,0.13700001,0.20600002,1.233,1.7700001,1.0,GP_1S,dynamic
181.0,1.1810001,1.179,1.348,-0.16700001,0.135,0.215,0.91800004,1.44,1.0,Linear_1S,stoch
181.0,1.202,1.2,1.348,-0.14600001,0.13700001,0.2,0.93500006,1.468,1.0,GP_1S,stoch
214.0,1.406,1.4050001,1.197,0.209,0.13900001,0.25100002,1.1320001,1.6810001,1.0,Linear_oracle,dynamic
214.0,1.3440001,1.343,1.197,0.147,0.134,0.19800001,1.082,1.605,1.0,GP_oracle,dynamic
214.0,1.3970001,1.3970001,1.4640001,-0.067,0.147,0.162,1.1040001,1.6810001,1.0,Linear_oracle,stoch
214.0,1.4480001,1.447,1.4640001,-0.016,0.141,0.142,1.172,1.7310001,1.0,GP_oracle,stoch
214.0,1.5970001,1.5940001,1.197,0.4,0.178,0.437,1.2490001,1.9430001,0.0,Linear_observed,dynamic
214.0,1.6100001,1.608,1.197,0.41300002,0.186,0.453,1.253,1.9790001,0.0,GP_observed,dynamic
214.0,1.442,1.44,1.4640001,-0.022000002,0.18100001,0.18200001,1.088,1.797,1.0,Linear_observed,stoch
214.0,1.47,1.465,1.4640001,0.006,0.19700001,0.19700001,1.098,1.8610001,1.0,GP_observed,stoch
214.0,1.447,1.4440001,1.197,0.25,0.147,0.29000002,1.172,1.7370001,1.0,Linear_2S,dynamic
214.0,1.4200001,1.419,1.197,0.223,0.14500001,0.266,1.1400001,1.7110001,1.0,GP_2S,dynamic
214.0,1.3590001,1.358,1.4640001,-0.105000004,0.17,0.2,1.036,1.687,1.0,Linear_2S,stoch
214.0,1.35,1.3460001,1.4640001,-0.11400001,0.165,0.201,1.0370001,1.682,1.0,GP_2S,stoch
214.0,1.4460001,1.4430001,1.197,0.24900001,0.149,0.29000002,1.167,1.7390001,1.0,Linear_3S,dynamic
214.0,1.4210001,1.419,1.197,0.224,0.14600001,0.26700002,1.1420001,1.7110001,1.0,GP_3S,dynamic
214.0,1.3570001,1.3570001,1.4640001,-0.10700001,0.171,0.201,1.031,1.687,1.0,Linear_3S,stoch
214.0,1.348,1.3440001,1.4640001,-0.116000004,0.16700001,0.20300001,1.034,1.6890001,1.0,GP_3S,stoch
214.0,1.434,1.4350001,1.197,0.23700002,0.13900001,0.275,1.1630001,1.71,1.0,Linear_1S,dynamic
214.0,1.389,1.389,1.197,0.192,0.14400001,0.23900001,1.107,1.672,1.0,GP_1S,dynamic
214.0,1.406,1.4070001,1.4640001,-0.058000002,0.16100001,0.171,1.093,1.7220001,1.0,Linear_1S,stoch
214.0,1.4590001,1.455,1.4640001,-0.0050000004,0.18300001,0.18300001,1.1110001,1.8260001,1.0,GP_1S,stoch
247.0,1.6850001,1.6830001,1.7340001,-0.049000002,0.13000001,0.13900001,1.4260001,1.9430001,1.0,Linear_oracle,dynamic
247.0,1.6810001,1.6810001,1.7340001,-0.053000003,0.13100001,0.141,1.4260001,1.94,1.0,GP_oracle,dynamic
247.0,1.36,1.36,1.4380001,-0.078,0.128,0.15,1.1040001,1.6150001,1.0,Linear_oracle,stoch
247.0,1.36,1.358,1.4380001,-0.078,0.128,0.15,1.1090001,1.6110001,1.0,GP_oracle,stoch
247.0,1.6300001,1.628,1.7340001,-0.104,0.148,0.18100001,1.343,1.9240001,1.0,Linear_observed,dynamic
247.0,1.649,1.6500001,1.7340001,-0.085,0.143,0.16700001,1.366,1.9280001,1.0,GP_observed,dynamic
247.0,1.3160001,1.3160001,1.4380001,-0.12200001,0.134,0.18200001,1.0530001,1.58,1.0,Linear_observed,stoch
247.0,1.327,1.3280001,1.4380001,-0.11100001,0.132,0.172,1.0710001,1.5840001,1.0,GP_observed,stoch
247.0,1.6860001,1.6850001,1.7340001,-0.048,0.13000001,0.13800001,1.4410001,1.9420002,1.0,Linear_2S,dynamic
247.0,1.674,1.674,1.7340001,-0.060000002,0.13000001,0.143,1.424,1.9330001,1.0,GP_2S,dynamic
247.0,1.343,1.3440001,1.4380001,-0.095000006,0.128,0.16000001,1.1060001,1.5910001,1.0,Linear_2S,stoch
247.0,1.343,1.343,1.4380001,-0.095000006,0.128,0.15900001,1.0960001,1.5960001,1.0,GP_2S,stoch
247.0,1.6860001,1.6850001,1.7340001,-0.048,0.12900001,0.13800001,1.4410001,1.9410001,1.0,Linear_3S,dynamic
247.0,1.6750001,1.6750001,1.7340001,-0.059000004,0.13000001,0.143,1.4250001,1.9330001,1.0,GP_3S,dynamic
247.0,1.342,1.3440001,1.4380001,-0.096,0.128,0.15900001,1.107,1.5890001,1.0,Linear_3S,stoch
247.0,1.343,1.342,1.4380001,-0.095000006,0.127,0.15900001,1.097,1.595,1.0,GP_3S,stoch
247.0,1.6910001,1.6890001,1.7340001,-0.043,0.132,0.13900001,1.4330001,1.9540001,1.0,Linear_1S,dynamic
247.0,1.6860001,1.687,1.7340001,-0.048,0.133,0.142,1.422,1.9440001,1.0,GP_1S,dynamic
247.0,1.3470001,1.3460001,1.4380001,-0.091000006,0.13000001,0.15900001,1.0910001,1.6020001,1.0,Linear_1S,stoch
247.0,1.3510001,1.3490001,1.4380001,-0.087000005,0.12900001,0.156,1.095,1.6020001,1.0,GP_1S,stoch
280.0,1.6190001,1.6200001,1.8280001,-0.209,0.149,0.257,1.3230001,1.9070001,1.0,Linear_oracle,dynamic
280.0,1.8000001,1.8010001,1.8280001,-0.028,0.093,0.097,1.6150001,1.983,1.0,GP_oracle,dynamic
280.0,1.251,1.251,1.394,-0.143,0.15100001,0.208,0.95400006,1.5460001,1.0,Linear_oracle,stoch
280.0,2.038,2.0410001,1.394,0.64400005,0.165,0.66400003,1.705,2.3600001,0.0,GP_oracle,stoch
280.0,1.501,1.5000001,1.8280001,-0.32700002,0.23700002,0.404,1.0430001,1.9660001,1.0,Linear_observed,dynamic
280.0,1.6020001,1.59,1.8280001,-0.22600001,0.23600002,0.326,1.1600001,2.1000001,1.0,GP_observed,dynamic
280.0,1.128,1.128,1.394,-0.266,0.18800001,0.326,0.76400006,1.496,1.0,Linear_observed,stoch
280.0,1.1930001,1.1910001,1.394,-0.201,0.18100001,0.27,0.85300004,1.5600001,1.0,GP_observed,stoch
280.0,1.5560001,1.557,1.8280001,-0.272,0.14600001,0.30900002,1.2780001,1.8360001,1.0,Linear_2S,dynamic
280.0,1.565,1.5630001,1.8280001,-0.263,0.14600001,0.30100003,1.2880001,1.8590001,1.0,GP_2S,dynamic
280.0,1.1630001,1.164,1.394,-0.231,0.15400001,0.27800003,0.869,1.4610001,1.0,Linear_2S,stoch
280.0,1.2160001,1.212,1.394,-0.178,0.157,0.23700002,0.92,1.5370001,1.0,GP_2S,stoch
280.0,1.5560001,1.5560001,1.8280001,-0.272,0.147,0.30900002,1.276,1.84,1.0,Linear_3S,dynamic
280.0,1.567,1.565,1.8280001,-0.261,0.147,0.29900002,1.286,1.8610001,1.0,GP_3S,dynamic
280.0,1.1650001,1.1650001,1.394,-0.22900002,0.15400001,0.27600002,0.86800003,1.4660001,1.0,Linear_3S,stoch
280.0,1.217,1.2140001,1.394,-0.177,0.157,0.23700002,0.91800004,1.536,1.0,GP_3S,stoch
280.0,1.5460001,1.5460001,1.8280001,-0.282,0.15,0.32000002,1.256,1.84,1.0,Linear_1S,dynamic
280.0,1.59,1.5890001,1.8280001,-0.238,0.147,0.28,1.3010001,1.8790001,1.0,GP_1S,dynamic
280.0,1.149,1.1500001,1.394,-0.245,0.158,0.291,0.84200007,1.4590001,1.0,Linear_1S,stoch
280.0,1.2750001,1.276,1.394,-0.119,0.18900001,0.223,0.91300005,1.644,1.0,GP_1S,stoch
313.0,1.766,1.7650001,1.5280001,0.238,0.134,0.273,1.5020001,2.0310001,1.0,Linear_oracle,dynamic
313.0,1.6960001,1.6960001,1.5280001,0.16800001,0.13100001,0.21300001,1.44,1.9490001,1.0,GP_oracle,dynamic
313.0,1.45,1.4480001,1.353,0.097,0.13100001,0.163,1.1930001,1.7070001,1.0,Linear_oracle,stoch
313.0,1.4860001,1.4860001,1.353,0.133,0.127,0.18400002,1.24,1.7310001,1.0,GP_oracle,stoch
313.0,2.051,2.051,1.5280001,0.523,0.179,0.55200005,1.7010001,2.4090002,0.0,Linear_observed,dynamic
313.0,2.0070002,2.005,1.5280001,0.47900003,0.19700001,0.518,1.626,2.4020002,0.0,GP_observed,dynamic
313.0,1.5150001,1.516,1.353,0.162,0.14500001,0.21700001,1.233,1.802,1.0,Linear_observed,stoch
313.0,1.4920001,1.491,1.353,0.13900001,0.15100001,0.20500001,1.192,1.7860001,1.0,GP_observed,stoch
313.0,1.7620001,1.7670001,1.5280001,0.23400001,0.13100001,0.268,1.4770001,2.009,1.0,Linear_2S,dynamic
313.0,1.741,1.741,1.5280001,0.21300001,0.13700001,0.25300002,1.473,2.006,1.0,GP_2S,dynamic
313.0,1.404,1.4070001,1.353,0.051000003,0.132,0.141,1.125,1.6480001,1.0,Linear_2S,stoch
313.0,1.391,1.391,1.353,0.038000003,0.134,0.13900001,1.128,1.649,1.0,GP_2S,stoch
313.0,1.7630001,1.7670001,1.5280001,0.23500001,0.13100001,0.26900002,1.48,2.009,1.0,Linear_3S,dynamic
313.0,1.741,1.741,1.5280001,0.21300001,0.13700001,0.25300002,1.473,2.006,1.0,GP_3S,dynamic
313.0,1.4030001,1.406,1.353,0.05,0.13100001,0.14,1.125,1.6450001,1.0,Linear_3S,stoch
313.0,1.391,1.391,1.353,0.038000003,0.134,0.13900001,1.128,1.649,1.0,GP_3S,stoch
313.0,1.7620001,1.761,1.5280001,0.23400001,0.13700001,0.27100003,1.4940001,2.029,1.0,Linear_1S,dynamic
313.0,1.7220001,1.723,1.5280001,0.194,0.142,0.24000001,1.44,2.0,1.0,GP_1S,dynamic
313.0,1.432,1.4310001,1.353,0.079,0.136,0.158,1.1630001,1.6990001,1.0,Linear_1S,stoch
313.0,1.4260001,1.4260001,1.353,0.07300001,0.13800001,0.156,1.1550001,1.695,1.0,GP_1S,stoch
