idx,mean,median,true,bias,std,RMSE,MAE,q025,q975,covering,mean_ind_cover,method,estimand
319.0,0.92,0.919,1.1450001,-0.22500001,0.076000005,1.13,0.77400005,0.77000004,1.0680001,0.0,0.44200003,GP_observed,dynamic
319.0,3.5200002,3.519,3.2860003,0.23400001,0.231,2.5010002,1.7760001,3.0660002,3.9740002,1.0,0.142,Linear_observed,stoch
319.0,4.484,4.4830003,3.2860003,1.1980001,0.26700002,3.2940001,2.555,3.969,5.006,0.0,0.21200001,GP_observed,stoch
319.0,1.3670001,1.365,1.1450001,0.22200002,0.062000003,0.809,0.70500004,1.251,1.493,0.0,0.34800002,Linear_3S,dynamic
319.0,2.065,2.065,1.1450001,0.92,0.136,2.161,1.7670001,1.7990001,2.332,0.0,0.76400006,GP_3S,dynamic
319.0,4.431,4.427,3.2860003,1.1450001,0.185,2.1560001,1.9390001,4.085,4.808,0.0,0.080000006,Linear_3S,stoch
319.0,2.489,2.486,3.2860003,-0.79700005,0.21000001,1.937,1.079,2.0870001,2.9060001,0.0,0.85600007,GP_3S,stoch
319.0,1.5410001,1.5410001,1.1450001,0.39600003,0.046000004,0.85800004,0.74600005,1.45,1.6330001,0.0,0.072000004,Linear_1S,dynamic
319.0,0.882,0.883,1.1450001,-0.263,0.105000004,0.92300004,0.554,0.67300004,1.085,0.0,0.36200002,GP_1S,dynamic
319.0,4.9890003,4.9870005,3.2860003,1.7030001,0.148,2.391,2.266,4.695,5.281,0.0,0.016,Linear_1S,stoch
319.0,2.3170002,2.3170002,3.2860003,-0.96900004,0.245,1.644,1.1190001,1.8360001,2.795,0.0,0.39200002,GP_1S,stoch
372.0,1.463,1.463,1.087,0.37600002,0.036000002,0.76400006,0.666,1.393,1.534,0.0,0.038000003,Linear_oracle,dynamic
372.0,1.123,1.123,1.087,0.036000002,0.046000004,0.29900002,0.231,1.0320001,1.2110001,1.0,0.36,GP_oracle,dynamic
372.0,5.275,5.275,3.486,1.789,0.13000001,2.344,2.2970002,5.0210004,5.531,0.0,0.0,Linear_oracle,stoch
