idx,model,estimand,gamma_noise,mean,median,true,bias,std,RMSE,RMSE_rel,MAE,MAPE,q025,q975,covering,mean_ind_cover,w_dist,iteration
13_1_2,MWG,dynamic,3.0,4.01881,3.6984198,4.27758,-0.25877,0.14232999,0.29533,0.06904,0.62918997,0.1687,3.7304907,4.256194,0.0,0.974,1.7669349,13_1
13_1_2,MWG,stoch,3.0,4.96953,4.78049,5.26956,-0.30003,0.15075,0.33578,0.063719995,0.42484,0.07846,4.665565,5.2122498,0.0,0.856,1.7669349,13_1
13_1_2,MWG_rep,dynamic,3.0,4.03424,3.85352,4.27758,-0.24335,0.15448,0.28824,0.067379996,0.66262,0.176,3.7464175,4.3538475,1.0,0.992,1.8993523,13_1
13_1_2,MWG_rep,stoch,3.0,4.99294,4.80827,5.26956,-0.27662998,0.14623,0.3129,0.05938,0.47630998,0.08806,4.745916,5.3263683,1.0,0.752,1.8993523,13_1
13_1_3,true_net,dynamic,3.5,4.29223,3.86704,4.27758,0.014649999,0.01291,0.01952,0.00456,0.014649999,0.00357,4.266816,4.317552,1.0,1.0,0.2757089,13_1
13_1_3,true_net,stoch,3.5,5.2876797,5.04748,5.26956,0.01812,0.01597,0.024149999,0.00458,0.01812,0.00342,5.25626,5.31899,1.0,1.0,0.2757089,13_1
13_1_3,obs_net,dynamic,3.5,1.14861,0.49008,4.27758,-3.12898,0.54899997,3.17677,0.74266,3.12898,0.79827,0.07818982,2.2382052,0.0,0.0039999997,7.0686374,13_1
13_1_3,obs_net,stoch,3.5,1.37,1.3675,5.26956,-3.89957,0.62683,3.94962,0.74952,3.89957,0.73234,0.14837807,2.6127975,0.0,0.0,7.0686374,13_1
13_1_3,MWG,dynamic,3.5,3.9370298,3.61157,4.27758,-0.34055,0.1643,0.37812,0.08839,0.64878,0.16913,3.6104944,4.2124662,0.0,0.97599995,1.9566566,13_1
13_1_3,MWG,stoch,3.5,4.8411098,4.65051,5.26956,-0.42845,0.17164,0.46155,0.087589994,0.50119,0.09135,4.499955,5.141184,0.0,0.82199997,1.9566566,13_1
13_1_3,MWG_rep,dynamic,3.5,4.0664,3.86141,4.27758,-0.21118,0.15215999,0.26029,0.06085,0.62406,0.16813,3.7731879,4.373578,1.0,0.992,2.1660604,13_1
13_1_3,MWG_rep,stoch,3.5,4.99789,4.8076797,5.26956,-0.27168,0.16514,0.31792998,0.06033,0.44384,0.08202,4.674656,5.302576,1.0,0.732,2.1660604,13_1
