,idx,mean,median,true,bias,std,RMSE,RMSE_all,MAE,MAE_all,MAPE,MAPE_all,rel_RMSE,rel_RMSE_all,q025,q975,covering,mean_ind_cover,method,estimand,TRUE,model,type,abs_bias,ci_length
10,11.0,0.643,0.642,0.83100003,-0.18800001,0.045,0.193,0.45200002,0.18800001,0.321,0.22600001,1029.1831,0.054,36341784.0,0.55600005,0.73200005,0.0,0.90200007,GP_3S,dynamic,,GP,3S,0.18800001,0.17600000000000005
11,11.0,2.003,2.002,2.6120002,-0.609,0.119,0.62100005,0.91800004,0.609,0.70600003,0.23300001,0.25500003,0.057000004,0.089,1.771,2.239,0.0,0.804,GP_3S,stoch,,GP,3S,0.609,0.46799999999999997
12,11.0,0.823,0.822,0.83100003,-0.008,0.031000001,0.032,0.27,0.026,0.20700002,0.031000001,1915.6681,0.001,60920156.0,0.762,0.88400006,1.0,0.216,Linear_1S,dynamic,,Linear,1S,0.008,0.12200005999999997
13,11.0,0.8,0.80200005,0.83100003,-0.031000001,0.043,0.053000003,0.367,0.042000003,0.24900001,0.05,1975.0881,0.004,65591456.0,0.71000004,0.878,1.0,0.564,GP_1S,dynamic,,GP,1S,0.031000001,0.16799995999999995
14,11.0,2.628,2.6260002,2.6120002,0.016,0.09900001,0.1,0.39900002,0.080000006,0.312,0.030000001,0.128,0.001,0.028,2.434,2.822,1.0,0.39800003,Linear_1S,stoch,,Linear,1S,0.016,0.3879999999999999
15,11.0,2.5070002,2.5100002,2.6120002,-0.105000004,0.134,0.17,0.66800004,0.136,0.40800002,0.052,0.149,0.004,0.041,2.237,2.7610002,1.0,0.67200005,GP_1S,stoch,,GP,1S,0.105000004,0.5240001999999997
16,66.0,0.845,0.846,0.83400005,0.011000001,0.023000002,0.025,0.045,0.020000001,0.028,0.024,0.039,0.001,0.003,0.8,0.89000005,1.0,1.0,Linear_oracle,dynamic,,Linear,Oracle,0.011000001,0.09000005
17,66.0,0.822,0.822,0.83400005,-0.012,0.026,0.028,0.186,0.023000002,0.08400001,0.027,0.116000004,0.001,0.034,0.771,0.87100005,1.0,1.0,GP_oracle,dynamic,,GP,Oracle,0.012,0.10000005000000001
18,66.0,2.7280002,2.729,2.6940002,0.034,0.074,0.081,0.091000006,0.065000005,0.067,0.024,0.024,0.001,0.001,2.5830002,2.8720002,1.0,1.0,Linear_oracle,stoch,,Linear,Oracle,0.034,0.28900000000000015
19,66.0,2.6390002,2.6390002,2.6940002,-0.055000003,0.078,0.096,0.409,0.07700001,0.165,0.029000001,0.052,0.001,0.008,2.4840002,2.792,1.0,0.99000007,GP_oracle,stoch,,GP,Oracle,0.055000003,0.3079997999999997
20,66.0,0.58500004,0.58400005,0.83400005,-0.24900001,0.048,0.254,0.42800003,0.25,0.32200003,0.29900002,1190.1621,0.093,27442682.0,0.48700002,0.68,0.0,0.24400002,Linear_observed,dynamic,,Linear,Obs.,0.24900001,0.19299998000000007
21,66.0,0.45000002,0.45000002,0.83400005,-0.384,0.083000004,0.393,0.54800004,0.384,0.42900002,0.46100003,977.98004,0.22200002,23330858.0,0.287,0.611,0.0,0.47200003,GP_observed,dynamic,,GP,Obs.,0.384,0.324
22,66.0,1.7980001,1.797,2.6940002,-0.896,0.134,0.906,1.1620001,0.897,0.93100005,0.333,0.312,0.113000005,0.123,1.531,2.062,0.0,0.18,Linear_observed,stoch,,Linear,Obs.,0.896,0.5309999999999999
23,66.0,2.02,2.016,2.6940002,-0.674,0.17500001,0.697,1.25,0.675,0.98800004,0.25,0.35300002,0.067,0.171,1.6930001,2.367,0.0,0.36200002,GP_observed,stoch,,GP,Obs.,0.674,0.6739999000000001
24,66.0,0.683,0.68100005,0.83400005,-0.15100001,0.038000003,0.157,0.36200002,0.15200001,0.27600002,0.18200001,1196.961,0.035,41113724.0,0.61200005,0.76000005,0.0,0.87000006,Linear_3S,dynamic,,Linear,3S,0.15100001,0.14800000000000002
25,66.0,2.2670002,2.265,2.6940002,-0.42700002,0.106000006,0.441,0.65800005,0.42800003,0.52400005,0.15900001,0.185,0.027,0.048,2.062,2.4780002,0.0,0.688,Linear_3S,stoch,,Linear,3S,0.42700002,0.41600020000000004
26,66.0,0.67300004,0.67200005,0.83400005,-0.16100001,0.043,0.16700001,0.47500002,0.16100001,0.328,0.193,1086.3141,0.040000003,43890104.0,0.592,0.76000005,0.0,0.934,GP_3S,dynamic,,GP,3S,0.16100001,0.16800005000000007
27,66.0,2.1560001,2.1550002,2.6940002,-0.53800005,0.11400001,0.55,0.89100003,0.53800005,0.661,0.2,0.23500001,0.042000003,0.080000006,1.9340001,2.3830001,0.0,0.864,GP_3S,stoch,,GP,3S,0.53800005,0.44899999999999984
28,66.0,0.83100003,0.83100003,0.83400005,-0.003,0.030000001,0.030000001,0.26000002,0.024,0.202,0.029000001,1759.3971,0.001,50158612.0,0.77300006,0.88900006,1.0,0.21800001,Linear_1S,dynamic,,Linear,1S,0.003,0.11599999999999999
29,66.0,0.795,0.795,0.83400005,-0.039,0.033,0.051000003,0.45700002,0.043,0.28800002,0.052,1622.202,0.004,48634456.0,0.731,0.859,1.0,0.34600002,GP_1S,dynamic,,GP,1S,0.039,0.128
30,66.0,2.762,2.762,2.6940002,0.068,0.09900001,0.120000005,0.377,0.097,0.3,0.036000002,0.119,0.002,0.024,2.568,2.9550002,1.0,0.374,Linear_1S,stoch,,Linear,1S,0.068,0.3870002000000001
31,66.0,2.594,2.595,2.6940002,-0.1,0.11100001,0.15,0.79700005,0.123,0.46300003,0.046000004,0.16000001,0.003,0.048,2.3790002,2.812,1.0,0.504,GP_1S,stoch,,GP,1S,0.1,0.4329997999999997
32,121.0,0.716,0.716,0.70600003,0.010000001,0.024,0.026,0.047000002,0.021000002,0.028,0.029000001,0.045,0.001,0.004,0.66800004,0.763,1.0,1.0,Linear_oracle,dynamic,,Linear,Oracle,0.010000001,0.09499996
33,121.0,0.68100005,0.68200004,0.70600003,-0.025,0.026,0.036000002,0.3,0.029000001,0.09900001,0.042000003,0.13700001,0.003,0.055000003,0.629,0.73200005,1.0,0.98200005,GP_oracle,dynamic,,GP,Oracle,0.025,0.10300005000000001
34,121.0,2.5370002,2.536,2.5070002,0.030000001,0.083000004,0.08800001,0.09900001,0.07,0.072000004,0.028,0.028,0.001,0.001,2.375,2.697,1.0,1.0,Linear_oracle,stoch,,Linear,Oracle,0.030000001,0.32200000000000006
35,121.0,2.4320002,2.433,2.5070002,-0.075,0.085,0.113000005,0.582,0.09200001,0.20700002,0.037,0.065000005,0.002,0.016,2.2640002,2.5990002,1.0,0.95800006,GP_oracle,stoch,,GP,Oracle,0.075,0.33499999999999996
36,121.0,0.44300002,0.44200003,0.70600003,-0.263,0.037,0.266,0.42100003,0.263,0.31100002,0.37300003,1412.0591,0.142,20876108.0,0.37100002,0.51600003,0.0,0.194,Linear_observed,dynamic,,Linear,Obs.,0.263,0.14500001000000007
