,idx,mean,median,true,bias,std,RMSE,RMSE_all,MAE,MAE_all,MAPE,MAPE_all,rel_RMSE,rel_RMSE_all,q025,q975,covering,mean_ind_cover,method,estimand,model,type,abs_bias,ci_length
96,331.0,0.609,0.60700005,0.69200003,-0.083000004,0.072000004,0.23900001,0.272,0.083000004,0.12100001,0.134,0.125,0.34600002,0.39200002,0.47400004,0.75600004,1.0,0.896,Linear_oracle,dynamic,Linear,Oracle,0.083000004,0.282
97,331.0,0.71800005,0.68500006,0.69200003,0.026,0.163,0.068,0.307,0.052,0.13800001,0.165,0.18400002,0.098000005,0.44400004,0.50200003,1.149,1.0,1.0,BYM_oracle,dynamic,BYM,Oracle,0.026,0.64699997
98,331.0,2.301,2.2940001,2.6200001,-0.319,0.27,0.32000002,0.43600002,0.319,0.36400002,0.135,0.14400001,0.12200001,0.16600001,1.794,2.854,1.0,0.94200003,Linear_oracle,stoch,Linear,Oracle,0.319,1.06
99,331.0,2.7140002,2.5870001,2.6200001,0.094000004,0.61600006,0.128,0.66200006,0.09900001,0.44000003,0.165,0.16800001,0.049000002,0.252,1.899,4.346,1.0,1.0,BYM_oracle,stoch,BYM,Oracle,0.094000004,2.447
100,331.0,0.316,0.316,0.69200003,-0.37600002,0.065000005,0.53900003,0.551,0.393,0.397,0.54300004,680.02,0.77800006,0.79600006,0.19000001,0.448,0.0,0.29200003,Linear_observed,dynamic,Linear,Obs.,0.37600002,0.25799999
101,331.0,0.38700002,0.358,0.69200003,-0.305,0.15,0.43400002,0.554,0.324,0.379,0.46500003,775.762,0.62600005,0.80100006,0.2,0.79600006,1.0,0.48000002,BYM_observed,dynamic,BYM,Obs.,0.305,0.5960000599999999
102,331.0,1.1800001,1.1780001,2.6200001,-1.44,0.23200001,1.618,1.636,1.44,1.4430001,0.55,0.52000004,0.61700004,0.624,0.735,1.6420001,0.0,0.072000004,Linear_observed,stoch,Linear,Obs.,1.44,0.9070001
103,331.0,1.4510001,1.3390001,2.6200001,-1.169,0.551,1.3820001,1.493,1.174,1.264,0.469,0.455,0.527,0.57000005,0.77800006,2.9650002,1.0,0.73200005,BYM_observed,stoch,BYM,Obs.,1.169,2.18700014
104,331.0,0.40300003,0.4,0.69200003,-0.289,0.071,0.45600003,0.483,0.324,0.344,0.41700003,1116.6371,0.65900004,0.698,0.272,0.55200005,0.0,0.63000005,Linear_3S,dynamic,Linear,3S,0.289,0.28000004999999994
105,331.0,1.5790001,1.57,2.6200001,-1.041,0.27800003,1.174,1.2290001,1.042,1.059,0.397,0.38300002,0.448,0.469,1.0600001,2.1460001,0.0,0.286,Linear_3S,stoch,Linear,3S,1.041,1.0860000000000003
106,331.0,0.46,0.441,0.69200003,-0.23200001,0.11800001,0.363,0.45900002,0.27100003,0.32500002,0.35000002,1173.8651,0.52500004,0.66300005,0.287,0.75600004,1.0,0.78200006,BYM_3S,dynamic,BYM,3S,0.23200001,0.46900004
107,331.0,1.8000001,1.7270001,2.6200001,-0.82000005,0.462,0.97800004,1.1120001,0.83100003,0.92100006,0.33100003,0.33400002,0.37300003,0.42400002,1.12,2.9520001,1.0,0.864,BYM_3S,stoch,BYM,3S,0.82000005,1.8320000999999997
