idx,model,estimand,mean,median,true,bias,std,RMSE_rel,MAPE,covering,mean_ind_cover,w_dist
34,MWG,dynamic,3.9303657,4.4357812,3.84806,0.0823057,0.40934998,0.0100935,0.0530765,False,1.00516,0.2816344
34,MWG,gate,13.5465368,14.9438704,13.135759,0.4107778,1.4068199,0.064621,0.039481,True,0.9039193,0.4688497
35,true_net,dynamic,4.4344497,4.26602,4.2087197,0.22572999,0.15444,0.06498,0.054059997,True,1.0,0.37135652
35,true_net,gate,13.27053,12.843519,12.594399,0.67612,0.42332,0.06334,0.053629998,True,1.0,0.37135652
35,MWG,dynamic,4.3138505,5.5550894,4.2087197,0.1051308,0.35093,0.0316652,0.1237561,True,1.1186158,0.6240449
35,MWG,gate,12.703435899999999,15.4536142,12.594399,0.1090369,0.99957997,0.0564169,0.0520639,True,0.5388219,1.392066
36,true_net,dynamic,3.26353,3.1190798,3.42445,-0.16092,0.15631999,0.06551,0.04865,True,1.0,0.31230012
36,true_net,gate,10.67523,10.38338,11.2008295,-0.52560997,0.46326,0.06255,0.04679,True,1.0,0.31230012
36,MWG,dynamic,3.4096054000000002,2.8881987,3.42445,-0.0148446,0.27831998,0.0044406,0.039154,True,1.1900451,0.6123408
36,MWG,gate,11.156322699999999,8.9570719,11.2008295,-0.0445068,0.85128,0.0053893,0.0047471,True,1.2503688,0.7633102
37,true_net,dynamic,4.02344,3.85954,3.8239698,0.19948,0.13994999,0.063719995,0.050449997,True,1.0,0.40581438
37,true_net,gate,13.70222,13.28914,13.026,0.67622,0.44054,0.061959997,0.052059997,True,1.0,0.40581438
37,MWG,dynamic,3.8631471,4.0417881,3.8239698,0.0391773,0.3439,0.026783,0.0555212,True,1.31715,0.9991869
37,MWG,gate,13.2276266,13.1027566,13.026,0.2016266,1.19933,0.0251977,0.0067613,True,1.3433429,1.1458221
38,true_net,dynamic,4.79799,4.6865597,4.98271,-0.18472,0.19327,0.05365,0.038459998,True,1.0,0.27615446
38,true_net,gate,13.639879,13.27586,14.15979,-0.51991,0.51447,0.051659998,0.036569998,True,1.0,0.27615446
38,MWG,dynamic,4.6630442,-0.6917555,4.98271,-0.3196658,0.22614999,0.2187917,0.0319099,True,0.012955,1.0458606
38,MWG,gate,11.555714799999999,-2.3445349,14.15979,-2.6040752,0.65226,0.3407937,0.2343631,False,0.0,0.9618901
39,true_net,dynamic,3.899,3.7475898,3.9342499,-0.03525,0.15021,0.039219998,0.01028,True,1.0,0.2333852
