idx,mean,median,true,bias,std,RMSE,RMSE_all,MAE,MAE_all,q025,q975,covering,mean_ind_cover,method,estimand
233.0,0.46500003,0.46400002,0.577,-0.112,0.034,0.254,0.29000002,0.19000001,0.22000001,0.40100002,0.53400004,0.0,0.81200004,Linear_3S,dynamic
233.0,2.151,2.15,2.769,-0.61800003,0.125,0.795,0.846,0.64900005,0.68500006,1.9120001,2.403,0.0,0.48800004,Linear_3S,stoch
233.0,0.44700003,0.44700003,0.577,-0.13000001,0.041,0.298,0.39100003,0.21000001,0.26700002,0.367,0.528,0.0,0.92800003,GP_3S,dynamic
233.0,2.0310001,2.0310001,2.769,-0.73800004,0.132,0.96500003,1.0890001,0.754,0.81900007,1.7730001,2.292,0.0,0.67800003,GP_3S,stoch
233.0,0.595,0.595,0.577,0.018000001,0.027,0.21700001,0.22000001,0.17,0.17300001,0.541,0.65000004,1.0,0.21400002,Linear_1S,dynamic
233.0,0.577,0.578,0.577,-0.0,0.036000002,0.307,0.34300002,0.223,0.23600002,0.505,0.646,1.0,0.446,GP_1S,dynamic
233.0,2.7,2.6980002,2.769,-0.069000006,0.11800001,0.43100002,0.44900003,0.34500003,0.35700002,2.467,2.936,1.0,0.39000002,Linear_1S,stoch
233.0,2.558,2.5570002,2.769,-0.21100001,0.135,0.77400005,0.841,0.47500002,0.503,2.2910001,2.8170002,1.0,0.55,GP_1S,stoch
288.0,0.89300007,0.89300007,0.90900004,-0.016,0.026,0.022000002,0.048,0.017,0.029000001,0.84200007,0.943,1.0,1.0,Linear_oracle,dynamic
288.0,0.846,0.846,0.90900004,-0.063,0.032,0.289,0.32900003,0.113000005,0.133,0.78200006,0.90900004,0.0,0.96800005,GP_oracle,dynamic
288.0,2.7610002,2.7610002,2.8140001,-0.053000003,0.080000006,0.057000004,0.104,0.053000003,0.079,2.601,2.917,1.0,1.0,Linear_oracle,stoch
288.0,2.6190002,2.618,2.8140001,-0.19500001,0.08800001,0.56200004,0.61,0.23200001,0.26200002,2.4450002,2.7900002,0.0,0.8880001,GP_oracle,stoch
288.0,0.671,0.671,0.90900004,-0.238,0.055000003,0.43,0.43600002,0.33100003,0.33600003,0.563,0.77800006,0.0,0.216,Linear_observed,dynamic
288.0,0.503,0.50200003,0.90900004,-0.40600002,0.065000005,0.646,0.674,0.52500004,0.544,0.377,0.63100004,0.0,0.37600002,GP_observed,dynamic
288.0,1.835,1.8340001,2.8140001,-0.97900003,0.133,1.2360001,1.2440001,1.0070001,1.013,1.572,2.095,0.0,0.14,Linear_observed,stoch
288.0,1.7780001,1.7780001,2.8140001,-1.036,0.142,1.4900001,1.534,1.148,1.167,1.501,2.0600002,0.0,0.252,GP_observed,stoch
288.0,0.70900005,0.707,0.90900004,-0.2,0.044000003,0.358,0.39600003,0.275,0.30600002,0.62600005,0.799,0.0,0.708,Linear_3S,dynamic
288.0,2.193,2.1910002,2.8140001,-0.62100005,0.12100001,0.80100006,0.85700005,0.65800005,0.69600004,1.9590001,2.4380002,0.0,0.48400003,Linear_3S,stoch
288.0,0.657,0.657,0.90900004,-0.252,0.052,0.45100003,0.57500005,0.31500003,0.39000002,0.554,0.758,0.0,0.91,GP_3S,dynamic
288.0,2.005,2.005,2.8140001,-0.809,0.13100001,0.998,1.136,0.82000005,0.88900006,1.7470001,2.262,0.0,0.74600005,GP_3S,stoch
288.0,0.896,0.896,0.90900004,-0.013,0.036000002,0.28100002,0.28500003,0.22600001,0.22900002,0.827,0.96900004,1.0,0.21000001,Linear_1S,dynamic
288.0,0.83800006,0.83900005,0.90900004,-0.071,0.049000002,0.42400002,0.467,0.279,0.29700002,0.74100006,0.93200004,1.0,0.48800004,GP_1S,dynamic
288.0,2.7900002,2.788,2.8140001,-0.024,0.11400001,0.42700002,0.44400004,0.32700002,0.34100002,2.5700002,3.0180001,1.0,0.432,Linear_1S,stoch
288.0,2.64,2.641,2.8140001,-0.17400001,0.15900001,0.735,0.79700005,0.44200003,0.483,2.3260002,2.9510002,1.0,0.66400003,GP_1S,stoch
343.0,0.62200004,0.62200004,0.66400003,-0.042000003,0.017,0.062000003,0.071,0.042000003,0.042000003,0.58900005,0.65500003,0.0,0.24000001,Linear_oracle,dynamic
343.0,0.60300004,0.60300004,0.66400003,-0.061000004,0.018000001,0.13100001,0.164,0.065000005,0.07700001,0.568,0.638,0.0,0.97400004,GP_oracle,dynamic
343.0,2.421,2.421,2.5900002,-0.16900001,0.067,0.18200001,0.19600001,0.17,0.17,2.288,2.5530002,0.0,0.022000002,Linear_oracle,stoch
343.0,2.381,2.381,2.5900002,-0.209,0.07,0.39900002,0.437,0.21100001,0.22600001,2.243,2.5170002,0.0,0.59400004,GP_oracle,stoch
343.0,0.45000002,0.45000002,0.66400003,-0.21400002,0.038000003,0.36600003,0.37,0.25100002,0.256,0.37500003,0.52400005,0.0,0.25800002,Linear_observed,dynamic
343.0,0.37600002,0.37500003,0.66400003,-0.28800002,0.065000005,0.43600002,0.462,0.316,0.34,0.24900001,0.509,0.0,0.55200005,GP_observed,dynamic
343.0,1.5150001,1.5150001,2.5900002,-1.075,0.116000004,1.299,1.3050001,1.0840001,1.087,1.284,1.7420001,0.0,0.09200001,Linear_observed,stoch
343.0,1.6100001,1.6110001,2.5900002,-0.98,0.123,1.284,1.317,1.0580001,1.077,1.3640001,1.8500001,0.0,0.23,GP_observed,stoch
343.0,0.54700005,0.546,0.66400003,-0.117000006,0.032,0.263,0.296,0.18900001,0.21900001,0.48700002,0.611,0.0,0.80200005,Linear_3S,dynamic
343.0,2.091,2.089,2.5900002,-0.499,0.109000005,0.683,0.74600005,0.546,0.595,1.8820001,2.309,0.0,0.60400003,Linear_3S,stoch
