idx,mean,median,true,bias,std,RMSE,MAE,q025,q975,covering,mean_ind_cover,method,estimand
477.0,1.0170001,1.0150001,1.146,-0.12900001,0.049000002,0.26500002,0.20400001,0.92700005,1.118,0.0,0.88000005,Linear_3S,dynamic
477.0,4.596,4.598,1.146,3.45,0.113000005,3.91,3.45,4.3710003,4.8110003,0.0,0.40600002,GP_3S,dynamic
477.0,3.4350002,3.4290001,3.9020002,-0.467,0.15900001,0.558,0.47700003,3.144,3.7610002,0.0,0.642,Linear_3S,stoch
477.0,2.5210001,2.519,3.9020002,-1.381,0.23200001,1.5610001,1.381,2.068,2.9780002,0.0,0.34800002,GP_3S,stoch
477.0,1.1580001,1.1580001,1.146,0.012,0.042000003,0.22900002,0.179,1.077,1.24,1.0,0.32000002,Linear_1S,dynamic
477.0,1.018,1.024,1.146,-0.128,0.07700001,0.4,0.26900002,0.85200006,1.153,1.0,0.512,GP_1S,dynamic
477.0,3.926,3.9270003,3.9020002,0.024,0.14400001,0.268,0.21400002,3.6460001,4.2070003,1.0,0.70000005,Linear_1S,stoch
477.0,3.3130002,3.3240001,3.9020002,-0.58900005,0.28300002,0.87500006,0.61,2.739,3.8450003,0.0,0.698,GP_1S,stoch
532.0,1.317,1.317,1.3390001,-0.022000002,0.043,0.05,0.023000002,1.2310001,1.4030001,1.0,1.0,Linear_oracle,dynamic
532.0,1.258,1.261,1.3390001,-0.081,0.058000002,0.231,0.086,1.131,1.365,1.0,0.994,GP_oracle,dynamic
532.0,3.716,3.716,3.782,-0.066,0.12100001,0.067,0.066,3.476,3.9540002,1.0,1.0,Linear_oracle,stoch
532.0,3.476,3.479,3.782,-0.30600002,0.16600001,0.46600002,0.307,3.1390002,3.7960002,1.0,0.99000007,GP_oracle,stoch
532.0,0.86800003,0.869,1.3390001,-0.47100002,0.076000005,0.597,0.492,0.71900004,1.0170001,0.0,0.19000001,Linear_observed,dynamic
532.0,0.758,0.757,1.3390001,-0.58100003,0.07300001,0.874,0.77500004,0.61600006,0.90200007,0.0,0.14,GP_observed,dynamic
532.0,2.338,2.3400002,3.782,-1.4440001,0.19000001,1.623,1.445,1.963,2.71,0.0,0.012,Linear_observed,stoch
532.0,2.9750001,2.9740002,3.782,-0.80700004,0.254,1.582,1.368,2.486,3.4800003,0.0,0.27800003,GP_observed,stoch
532.0,1.0990001,1.097,1.3390001,-0.24000001,0.052,0.36100003,0.28100002,1.0020001,1.2060001,0.0,0.786,Linear_3S,dynamic
532.0,4.6590004,4.664,1.3390001,3.3200002,0.126,3.7960002,3.321,4.401,4.892,0.0,0.40600002,GP_3S,dynamic
532.0,3.1850002,3.1810002,3.782,-0.597,0.14,0.66700006,0.59800005,2.9220002,3.4740002,0.0,0.386,Linear_3S,stoch
532.0,2.5410001,2.542,3.782,-1.241,0.20300001,1.3060001,1.241,2.1420002,2.933,0.0,0.27800003,GP_3S,stoch
532.0,1.2290001,1.2290001,1.3390001,-0.11000001,0.048,0.286,0.21900001,1.136,1.3230001,0.0,0.3,Linear_1S,dynamic
532.0,1.128,1.13,1.3390001,-0.21100001,0.061000004,0.381,0.293,1.0,1.243,0.0,0.416,GP_1S,dynamic
532.0,3.5590003,3.5590003,3.782,-0.223,0.13700001,0.34100002,0.27,3.2910001,3.8270001,1.0,0.56,Linear_1S,stoch
532.0,3.012,3.0140002,3.782,-0.77000004,0.20700002,0.83900005,0.772,2.595,3.41,0.0,0.22000001,GP_1S,stoch
