idx,mean,median,true,bias,std,RMSE,MAE,MAPE,q025,q975,covering,mean_ind_cover,method,estimand
405.0,5.458,5.458,5.4540005,0.004,0.068,0.024,0.019000001,0.0050000004,5.3250003,5.5920005,1.0,1.0,Linear_oracle,stoch
405.0,5.3250003,5.326,5.4540005,-0.12900001,0.085,0.712,0.257,0.036000002,5.1540003,5.4880004,1.0,0.92,GP_oracle,stoch
405.0,3.7810001,3.7800002,4.5680003,-0.78700006,0.067,1.388,0.90700006,0.23,3.6460001,3.91,0.0,0.224,Linear_observed,dynamic
405.0,3.7040002,3.7040002,4.5680003,-0.864,0.12200001,1.6830001,1.2900001,0.47400004,3.4700003,3.9450002,0.0,0.21000001,GP_observed,dynamic
405.0,4.958,4.958,5.4540005,-0.49600002,0.109000005,1.399,0.94000006,0.186,4.7440004,5.1720004,0.0,0.23400001,Linear_observed,stoch
405.0,6.0740004,6.0730004,5.4540005,0.62,0.215,1.4710001,1.1350001,0.22100002,5.6530004,6.4960003,0.0,0.27800003,GP_observed,stoch
405.0,4.487,4.486,4.5680003,-0.081,0.074,0.512,0.404,0.158,4.3440003,4.6340003,1.0,0.91200006,Linear_3S,dynamic
405.0,4.3,4.3,4.5680003,-0.268,0.09200001,0.763,0.485,0.16600001,4.1210003,4.4810004,0.0,0.86800003,GP_3S,dynamic
405.0,5.287,5.2850003,5.4540005,-0.16700001,0.095000006,0.51000005,0.39100003,0.086,5.0990005,5.478,1.0,0.90800005,Linear_3S,stoch
405.0,4.96,4.964,5.4540005,-0.49400002,0.133,0.98700005,0.614,0.11000001,4.688,5.2120004,0.0,0.87600005,GP_3S,stoch
405.0,4.5860004,4.5860004,4.5680003,0.018000001,0.058000002,0.48100004,0.384,0.15100001,4.472,4.6990004,1.0,0.312,Linear_1S,dynamic
405.0,4.5160003,4.5160003,4.5680003,-0.052,0.08400001,0.70400006,0.44700003,0.157,4.3510003,4.6800003,1.0,0.50600004,GP_1S,dynamic
405.0,5.4810004,5.4800005,5.4540005,0.027,0.07700001,0.44200003,0.35000002,0.08400001,5.328,5.63,1.0,0.34800002,Linear_1S,stoch
405.0,5.314,5.3180003,5.4540005,-0.14,0.124000005,0.82900006,0.505,0.1,5.0550003,5.55,1.0,0.522,GP_1S,stoch
460.0,4.9230003,4.9230003,4.8840003,0.039,0.065000005,0.11800001,0.094000004,0.031000001,4.7980003,5.0490003,1.0,0.96800005,Linear_oracle,dynamic
460.0,4.7730002,4.774,4.8840003,-0.11100001,0.09,0.73800004,0.367,0.08400001,4.591,4.946,1.0,0.86200005,GP_oracle,dynamic
460.0,5.6320004,5.6320004,5.5800004,0.052,0.080000006,0.09200001,0.057000004,0.009000001,5.479,5.7890005,1.0,1.0,Linear_oracle,stoch
460.0,5.3770003,5.381,5.5800004,-0.20300001,0.11100001,1.1620001,0.48200002,0.065000005,5.142,5.585,1.0,0.72,GP_oracle,stoch
460.0,3.8920002,3.8920002,4.8840003,-0.99200004,0.066,1.493,1.0840001,0.321,3.7610002,4.0220003,0.0,0.132,Linear_observed,dynamic
460.0,3.8660002,3.867,4.8840003,-1.018,0.106000006,1.6250001,1.302,0.40300003,3.6550002,4.0740004,0.0,0.24400002,GP_observed,dynamic
460.0,5.1390004,5.1390004,5.5800004,-0.441,0.124000005,1.3980001,1.016,0.18900001,4.893,5.385,0.0,0.20400001,Linear_observed,stoch
460.0,6.248,6.248,5.5800004,0.66800004,0.21100001,1.6630001,1.386,0.263,5.8380003,6.6600003,0.0,0.20600002,GP_observed,stoch
460.0,4.6860003,4.6850004,4.8840003,-0.19800001,0.091000006,0.55600005,0.43800002,0.155,4.51,4.868,0.0,0.906,Linear_3S,dynamic
460.0,4.368,4.3700004,4.8840003,-0.51600003,0.115,0.9250001,0.64900005,0.15900001,4.1400003,4.592,0.0,0.83800006,GP_3S,dynamic
460.0,5.321,5.3190002,5.5800004,-0.259,0.109000005,0.526,0.41400003,0.079,5.1060004,5.5400004,0.0,0.91,Linear_3S,stoch
460.0,4.9370003,4.94,5.5800004,-0.643,0.14500001,1.273,0.75200003,0.119,4.6410003,5.2120004,0.0,0.84200007,GP_3S,stoch
460.0,4.839,4.839,4.8840003,-0.045,0.071,0.497,0.39600003,0.15300001,4.701,4.977,1.0,0.342,Linear_1S,dynamic
460.0,4.682,4.682,4.8840003,-0.202,0.10700001,0.82000005,0.56200004,0.164,4.472,4.894,1.0,0.508,GP_1S,dynamic
460.0,5.5460005,5.5470004,5.5800004,-0.034,0.089,0.432,0.34300002,0.07,5.372,5.7170005,1.0,0.38000003,Linear_1S,stoch
460.0,5.321,5.3230004,5.5800004,-0.259,0.13100001,1.146,0.63900006,0.104,5.0600004,5.5730004,0.0,0.5,GP_1S,stoch
515.0,4.7650003,4.7650003,4.847,-0.082,0.055000003,0.12100001,0.085,0.021000002,4.656,4.872,1.0,1.0,Linear_oracle,dynamic
515.0,4.6610003,4.6610003,4.847,-0.186,0.071,0.47700003,0.23600002,0.147,4.5210004,4.7980003,0.0,0.8880001,GP_oracle,dynamic
515.0,5.6330004,5.6330004,5.7520003,-0.119,0.074,0.15100001,0.119,0.019000001,5.486,5.7790003,1.0,1.0,Linear_oracle,stoch
515.0,5.4240003,5.427,5.7520003,-0.328,0.095000006,0.79700005,0.32900003,0.042000003,5.2310004,5.603,0.0,0.89400005,GP_oracle,stoch
