idx,mean,median,true,bias,std,RMSE,RMSE_all,MAE,MAE_all,q025,q975,covering,mean_ind_cover,method,estimand
441.0,0.873,0.87200004,0.88000005,-0.007,0.052,0.354,0.42200002,0.26700002,0.303,0.77300006,0.97700006,1.0,0.546,GP_1S,dynamic
441.0,2.7050002,2.7050002,2.7080002,-0.003,0.12900001,0.404,0.42600003,0.31800002,0.33600003,2.4540002,2.956,1.0,0.462,Linear_1S,stoch
441.0,2.7440002,2.743,2.7080002,0.036000002,0.163,0.63900006,0.72800004,0.44400004,0.48600003,2.4250002,3.0640001,1.0,0.638,GP_1S,stoch
496.0,0.66400003,0.66400003,0.66200006,0.002,0.017,0.032,0.048,0.018000001,0.024,0.63000005,0.697,1.0,1.0,Linear_oracle,dynamic
496.0,0.651,0.651,0.66200006,-0.011000001,0.019000001,0.143,0.178,0.048,0.065000005,0.615,0.688,1.0,0.998,GP_oracle,dynamic
496.0,2.6120002,2.6130002,2.611,0.001,0.069000006,0.020000001,0.079,0.015000001,0.059000004,2.4740002,2.7450001,1.0,1.0,Linear_oracle,stoch
496.0,2.526,2.525,2.611,-0.085,0.074,0.273,0.32000002,0.116000004,0.15100001,2.381,2.674,1.0,0.98800004,GP_oracle,stoch
496.0,0.53900003,0.53900003,0.66200006,-0.123,0.038000003,0.32200003,0.32700002,0.22800002,0.23300001,0.46400002,0.614,0.0,0.27400002,Linear_observed,dynamic
496.0,0.34800002,0.34800002,0.66200006,-0.314,0.063,0.441,0.46600002,0.34100002,0.36100003,0.22500001,0.47200003,0.0,0.46600002,GP_observed,dynamic
496.0,1.8740001,1.8740001,2.611,-0.73700005,0.125,1.019,1.0270001,0.79,0.79800004,1.6290001,2.1200001,0.0,0.21800001,Linear_observed,stoch
496.0,1.9310001,1.9300001,2.611,-0.68,0.127,1.133,1.172,0.90500003,0.92800003,1.6860001,2.1850002,0.0,0.316,GP_observed,stoch
496.0,0.54300004,0.54200006,0.66200006,-0.119,0.032,0.272,0.30200002,0.193,0.22100002,0.48400003,0.61,0.0,0.77400005,Linear_3S,dynamic
496.0,2.14,2.1360002,2.611,-0.47100002,0.117000006,0.666,0.72700006,0.523,0.57000005,1.9160001,2.3720002,0.0,0.59800005,Linear_3S,stoch
496.0,0.51600003,0.51600003,0.66200006,-0.14600001,0.037,0.323,0.42800003,0.21000001,0.27100003,0.44400004,0.58900005,0.0,0.91400003,GP_3S,dynamic
496.0,1.945,1.945,2.611,-0.666,0.126,0.81700003,0.94600004,0.674,0.749,1.6960001,2.1920002,0.0,0.81200004,GP_3S,stoch
496.0,0.69000006,0.69000006,0.66200006,0.028,0.024,0.23200001,0.23600002,0.18300001,0.185,0.643,0.739,1.0,0.17,Linear_1S,dynamic
496.0,0.642,0.643,0.66200006,-0.020000001,0.031000001,0.354,0.381,0.223,0.23200001,0.578,0.70100003,1.0,0.39600003,GP_1S,dynamic
496.0,2.795,2.7930002,2.611,0.18400002,0.105000004,0.42800003,0.44300002,0.34600002,0.356,2.594,3.005,1.0,0.356,Linear_1S,stoch
496.0,2.6030002,2.604,2.611,-0.008,0.15900001,0.629,0.683,0.39200002,0.43,2.286,2.9120002,1.0,0.648,GP_1S,stoch
