idx,mean,median,true,bias,std,RMSE,RMSE_all,MAE,MAE_all,MAPE,q025,q975,covering,mean_ind_cover,method,estimand
292.0,2.519,2.519,2.6330001,-0.11400001,0.064,0.39800003,0.46400002,0.19100001,0.245,0.34500003,2.3930001,2.6420002,1.0,0.9760001,GP_oracle,dynamic
292.0,3.242,3.242,3.2730002,-0.031000001,0.060000002,0.052,0.109000005,0.042000003,0.082,0.10300001,3.1230001,3.3620002,1.0,1.0,Linear_oracle,stoch
292.0,3.1250002,3.1260002,3.2730002,-0.148,0.07,0.46,0.513,0.17400001,0.22500001,0.13700001,2.986,3.262,0.0,0.95800006,GP_oracle,stoch
292.0,2.1790001,2.1780002,2.6330001,-0.45400003,0.065000005,1.0890001,1.095,0.78900003,0.794,2.2480001,2.051,2.306,0.0,0.192,Linear_observed,dynamic
292.0,1.743,1.743,2.6330001,-0.89000005,0.185,1.5070001,1.5510001,1.1600001,1.1860001,2.877,1.3690001,2.1030002,0.0,0.31800002,GP_observed,dynamic
292.0,2.6100001,2.6090002,3.2730002,-0.66300005,0.082,1.2540001,1.2600001,0.933,0.93900007,0.46800002,2.4480002,2.7710001,0.0,0.16000001,Linear_observed,stoch
292.0,3.124,3.118,3.2730002,-0.149,0.29000002,1.0990001,1.22,0.77900004,0.86500007,0.61600006,2.5640001,3.706,1.0,0.564,GP_observed,stoch
292.0,2.42,2.4180002,2.6330001,-0.21300001,0.071,0.646,0.734,0.503,0.574,1.9940001,2.285,2.561,0.0,0.72,Linear_3S,dynamic
292.0,2.97,2.9680002,3.2730002,-0.303,0.09,0.717,0.81700003,0.56600004,0.64400005,0.3,2.8000002,3.1550002,0.0,0.688,Linear_3S,stoch
292.0,2.3170002,2.3170002,2.6330001,-0.316,0.08800001,0.814,0.92300004,0.583,0.66800004,1.7310001,2.147,2.4910002,0.0,0.76400006,GP_3S,dynamic
292.0,2.884,2.8820002,3.2730002,-0.38900003,0.098000005,0.9250001,1.0450001,0.647,0.74500006,0.347,2.6950002,3.081,0.0,0.758,GP_3S,stoch
292.0,2.526,2.526,2.6330001,-0.10700001,0.054,0.504,0.518,0.39900002,0.41200003,1.891,2.4180002,2.63,0.0,0.34,Linear_1S,dynamic
292.0,2.42,2.42,2.6330001,-0.21300001,0.074,0.726,0.77500004,0.49,0.523,1.664,2.276,2.565,0.0,0.51000005,GP_1S,dynamic
292.0,3.2270002,3.2280002,3.2730002,-0.046000004,0.075,0.53900003,0.55200005,0.43600002,0.44500002,0.273,3.0800002,3.3750002,1.0,0.268,Linear_1S,stoch
