idx,model,estimand,gamma_noise,mean,median,true,bias,std,RMSE,RMSE_rel,MAE,MAPE,q025,q975,covering,mean_ind_cover,w_dist
33_2_3,true_net,stoch,3.5,5.1184297,4.91003,5.1346297,-0.0162,0.01747,0.02382,0.00464,0.0162,0.00314,5.084254,5.15295,True,1.0,0.28300023
33_2_3,obs_net,dynamic,3.5,1.2804099,0.70501,4.6784997,-3.3981,0.56448,3.44466,0.73627,3.3981,0.77852,0.17187957,2.3661072,False,0.0,6.7249794
33_2_3,obs_net,stoch,3.5,1.3957,1.3921599,5.1346297,-3.73893,0.59422,3.7858498,0.73732,3.73893,0.72032,0.23065747,2.538917,False,0.0,6.7249794
33_2_3,MWG,dynamic,3.5,3.9551399,3.76646,4.6784997,-0.72336,0.14011,0.73679996,0.15749,0.86912,0.18891999,3.677319,4.224361,False,0.928,2.3110874
33_2_3,MWG,stoch,3.5,4.37744,4.19756,5.1346297,-0.7572,0.13538,0.76919997,0.14981,0.76799,0.14418,4.1302896,4.653423,False,0.498,2.3110874
33_2_3,MWG_rep,dynamic,3.5,3.80564,3.6699798,4.6784997,-0.87285995,0.18895,0.89308,0.19089,0.98573995,0.21549,3.501621,4.21889,False,0.968,2.5681145
33_2_3,MWG_rep,stoch,3.5,4.24619,4.07049,5.1346297,-0.88844997,0.17327,0.90518,0.17628999,0.89496,0.16867,3.9719477,4.626458,False,0.31399998,2.5681145
33_2_4,true_net,dynamic,4.0,4.66361,4.32077,4.6784997,-0.014889999,0.016139999,0.02196,0.00469,0.014889999,0.00335,4.631778,4.695009,True,1.0,0.2847209
33_2_4,true_net,stoch,4.0,5.11829,4.9098997,5.1346297,-0.016339999,0.01771,0.0241,0.00469,0.016339999,0.0031599998,5.083355,5.1527505,True,1.0,0.2847209
33_2_4,obs_net,dynamic,4.0,0.67504,0.14771,4.6784997,-4.00346,0.67131,4.05936,0.86766,4.00346,0.93504995,-0.61368877,1.999622,False,0.0,7.455726
33_2_4,obs_net,stoch,4.0,0.75582,0.74641997,5.1346297,-4.37881,0.71130997,4.4362097,0.86398,4.37881,0.84865,-0.6086994,2.1595724,False,0.0,7.455726
33_2_4,MWG,dynamic,4.0,3.78142,3.62617,4.6784997,-0.89708,0.12524,0.90577996,0.1936,0.97462,0.21056,3.5374107,4.028029,False,0.936,2.4015481
33_2_4,MWG,stoch,4.0,4.2543,4.0802197,5.1346297,-0.88032997,0.105229996,0.88659996,0.17266999,0.88658,0.16726999,4.062441,4.4747353,False,0.384,2.4015481
33_2_4,MWG_rep,dynamic,4.0,4.10114,3.94833,4.6784997,-0.57736,0.1548,0.59775,0.12776999,0.79568,0.18105,3.7830958,4.394544,False,0.978,2.4070168
33_2_4,MWG_rep,stoch,4.0,4.50849,4.32856,5.1346297,-0.62614,0.12652,0.63879,0.124409996,0.66414,0.12404,4.243014,4.736862,False,0.478,2.4070168
33_3_0,true_net,dynamic,2.0,3.86606,3.3667998,3.87535,-0.0092899995,0.013359999,0.01627,0.0042,0.00981,0.00315,3.840313,3.8919642,True,1.0,0.32867882
33_3_0,true_net,stoch,2.0,5.1117697,4.92483,5.1240697,-0.0123,0.01767,0.02152,0.0042,0.0123,0.00235,5.077725,5.146047,True,1.0,0.32867882
33_3_0,obs_net,dynamic,2.0,0.9241,0.23861,3.87535,-2.9512498,0.22206,2.95959,0.7637,2.9512498,0.82591,0.48565087,1.3546675,False,0.0,6.4117293
33_3_0,obs_net,stoch,2.0,1.21037,1.2062299,5.1240697,-3.9136999,0.27398,3.92328,0.76566,3.9136999,0.75711995,0.66920877,1.741334,False,0.0,6.4117293
33_3_0,MWG,dynamic,2.0,3.0230598,2.73505,3.87535,-0.85229,0.09603,0.85767996,0.22131999,0.93887997,0.25153,2.845822,3.2223637,False,0.88199997,2.6903012
33_3_0,MWG,stoch,2.0,3.89759,3.72589,5.1240697,-1.22648,0.115169995,1.2318699,0.24041,1.22648,0.23648,3.6931298,4.1345353,False,0.17799999,2.6903012
33_3_0,MWG_rep,dynamic,2.0,3.2373998,3.02467,3.87535,-0.63795,0.111209996,0.64756995,0.1671,0.80021995,0.22292,3.0195963,3.4492161,False,0.96599996,2.4119508
33_3_0,MWG_rep,stoch,2.0,4.1946397,4.01789,5.1240697,-0.92942995,0.11369,0.93636,0.18273999,0.93562996,0.17729,3.9682481,4.4117093,False,0.264,2.4119508
33_3_1,true_net,dynamic,2.5,3.86621,3.3669698,3.87535,-0.00914,0.013479999,0.01629,0.0042,0.00973,0.0031299999,3.8397021,3.8923883,True,1.0,0.32702813
33_3_1,true_net,stoch,2.5,5.11197,4.92504,5.1240697,-0.0121,0.017819999,0.02154,0.0042,0.0121,0.00231,5.0769196,5.146591,True,1.0,0.32702813
33_3_1,obs_net,dynamic,2.5,0.83928996,0.19089,3.87535,-3.0360599,0.28336,3.04926,0.78683,3.0360599,0.85327,0.2858185,1.3979814,False,0.0,6.608658
33_3_1,obs_net,stoch,2.5,1.10606,1.1037099,5.1240697,-4.0180097,0.34840998,4.03308,0.78709,4.0180097,0.77808,0.42521897,1.793003,False,0.0,6.608658
33_3_1,MWG,dynamic,2.5,3.07313,2.79146,3.87535,-0.80222,0.084309995,0.80663997,0.20815,0.89404,0.24207999,2.9035544,3.2328155,False,0.89199996,2.5427668
33_3_1,MWG,stoch,2.5,4.01356,3.8313198,5.1240697,-1.11051,0.082559995,1.11358,0.21732,1.11051,0.21316999,3.8452778,4.1631866,False,0.21,2.5427668
33_3_1,MWG_rep,dynamic,2.5,3.03214,2.8344,3.87535,-0.84321,0.108169995,0.85012,0.21937,0.96026,0.26384,2.8168375,3.2404513,False,0.95,2.45141
33_3_1,MWG_rep,stoch,2.5,4.05085,3.88129,5.1240697,-1.07322,0.094639994,1.07739,0.21025999,1.07656,0.20484999,3.8691828,4.23475,False,0.16399999,2.45141
33_3_2,true_net,dynamic,3.0,3.86606,3.36692,3.87535,-0.0092899995,0.013309999,0.01623,0.00419,0.0098399995,0.0031599998,3.840008,3.8921914,True,1.0,0.32630092
33_3_2,true_net,stoch,3.0,5.1117797,4.92486,5.1240697,-0.01229,0.0176,0.02147,0.00419,0.01229,0.00235,5.0773277,5.146325,True,1.0,0.32630092
33_3_2,obs_net,dynamic,3.0,0.6992,0.0936,3.87535,-3.1761498,0.35931998,3.19641,0.82479995,3.1761498,0.89923996,0.0030729615,1.4073225,False,0.0,6.8701296
33_3_2,obs_net,stoch,3.0,0.93306,0.93068,5.1240697,-4.19101,0.44509,4.21458,0.82251,4.19101,0.81286997,0.07186691,1.8121485,False,0.0,6.8701296
33_3_2,MWG,dynamic,3.0,3.5679698,3.27137,3.87535,-0.30738,0.15443,0.34399,0.088759996,0.63642997,0.19272,3.2257667,3.8212152,False,0.97599995,1.7679687
33_3_2,MWG,stoch,3.0,4.67911,4.5131598,5.1240697,-0.44496,0.17781,0.47917,0.093509994,0.50951,0.09473,4.2940803,5.006714,False,0.78599995,1.7679687
33_3_2,MWG_rep,dynamic,3.0,3.2802699,3.0702999,3.87535,-0.59507996,0.11412,0.60593,0.15635,0.77125,0.21538,3.059833,3.497162,False,0.968,2.3198779
33_3_2,MWG_rep,stoch,3.0,4.2476797,4.0808,5.1240697,-0.87639,0.09973,0.88205,0.17214,0.88479,0.1665,4.0561485,4.4405046,False,0.32999998,2.3198779
33_3_3,true_net,dynamic,3.5,3.86623,3.36686,3.87535,-0.00912,0.013429999,0.01623,0.00419,0.00969,0.00311,3.8402715,3.892893,True,1.0,0.32739323
33_3_3,true_net,stoch,3.5,5.112,4.92504,5.1240697,-0.012069999,0.01776,0.02147,0.00419,0.012069999,0.0023,5.077665,5.1472554,True,1.0,0.32739323
33_3_3,obs_net,dynamic,3.5,0.32099998,-0.23388,3.87535,-3.55435,0.47123998,3.58545,0.92519,3.55435,1.02336,-0.61148125,1.2216275,False,0.0,7.4350514
33_3_3,obs_net,stoch,3.5,0.46041998,0.46543,5.1240697,-4.66365,0.58803,4.7005796,0.91735,4.66365,0.90797997,-0.70205635,1.5847609,False,0.0,7.4350514
33_3_3,MWG,dynamic,3.5,3.36298,3.0832498,3.87535,-0.51237,0.11989,0.52621,0.13577999,0.71125,0.20065999,3.0957866,3.5742357,False,0.95,2.0899363
